sports: epl - chelsea	soccer	3200
agriculture	agriculture	3157
gold	metals	3147
medical	health & fitness	3117
egypt	egypt	3109
switzerland	switzerland	3103
nigeria	nigeria	3060
hospitality industry	hotels	3055
restaurant industry	dining out	3050
food industry	food & drink	3046
sports: fifa world cup	soccer	3000
advertising industry	advertising	2990
transportation industry	logistics	2962
mining industry	mining	2952
sports: serie a	soccer	2937
derivatives	stocks	2905
england	united kingdom	2882
saudi arabia	saudi arabia	2881
weather	weather	2860
london	united kingdom	2764
media conglomerates	del	2673
caribbean	del	2642
renewable energy	energy	2624
sports: nfl - dallas cowboys	american football	2610
enterprise computing	business software	2594
engineering	mechanics	2550
middle eastern business	business	2473
lgbt	gay life	2422
dallas-fort worth	usa	2405
uk politics	politics	2369
sydney	australia	2363
chemicals industry	chemistry	2340
european internet	internet	2287
north korea	north korea	2271
national oil companies	energy	2266
philippines	philippines	2241
walt disney company	childrens	2229
norway	norway	2216
health insurance	insurance	2203
thailand	thailand	2202
volkswagen	automotive	2191
journalism	journalism	2185
coal industry	energy	2183
sweden	sweden	2179
mortgage industry	buying & selling homes	2163
paris	paris	2161
broadcasting industry	del	2152
sports business	sports	2152
retail banking	personal finance	2136
sports: formula 1	racing	2122
internet access	internet	2102
social media	social networking	2100
belgium	belgium	2091
cancer	cancer	2083
sports: nfl - new england patriots	american football	2059
verizon communications	cellphones	2044
yemen	yemen	2036
human resources	human resources	2036
tesco	commerce	2033
ibm	business software	2032
consumer non-durables	del	2007
sports: nfl - seattle seahawks	american football	2004
illegal drugs	drugs	1986
space science	astronomy	1982
sports: bundesliga	soccer	1979
sports: nfl gossip	american football	1977
charities	non profit	1970
communications equipment	del	1962
netherlands	netherlands	1956
private equity	investing	1950
sports: nfl - denver broncos	american football	1943
sports: rugby union	rugby	1920
sports: athletics	sports	1919
ip and patents	law	1901
yahoo inc	internet	1889
chicago	usa	1888
consumer electronics	del	1861
online portals	internet	1833
personal technology	technology & computing	1821
sports: nfl - chicago bears	american football	1818
steelmaking	metalworking	1815
libya	libya	1798
small investor	investing	1795
sports: nfl - washington redskins	american football	1779
sports: nfl - detroit lions	american football	1776
crm	marketing	1774
stock exchanges	stocks	1771
greece	greece	1767
cloud computing	computer architecture	1761
sports: nfl - philadelphia eagles	american football	1757
ireland	ireland	1726
sports: epl - tottenham hotspur	soccer	1709
sports: college basketball	basketball	1707
consumer: fashion	fashion	1706
sports: nfl - new york jets	american football	1704
sierra leone	sierra leone	1701
sports: australian rules football	sports	1692
las vegas	usa	1666
sports: nba - cleveland cavaliers	basketball	1664
product launch	del	1658
sports: nfl - minnesota vikings	american football	1656
sports: nfl - carolina panthers	american football	1652
general motors	automotive	1647
small business	business	1634
sports: nfl - pittsburgh steelers	american football	1616
sports: nfl - arizona cardinals	american football	1611
sports: mlb - st louis cardinals	baseball	1600
android	computer software	1593
argentina	argentina	1579
sports: nfl - buffalo bills	american football	1578
medicaid and medicare	health & fitness	1577
sports: nfl - green bay packers	american football	1577
jpmorgan chase	investing	1567
kansas city	usa	1560
south florida	usa	1559
sports: olympic games	olympics	1545
jewish	judaism	1543
nuclear proliferation	military	1524
sports: top stories	sports	1520
pc software	computer software	1491
luxury goods	del	1464
hewlett-packard	computer hardware	1453
sports: nfl - san francisco 49ers	american football	1444
denmark	denmark	1435
sports: nfl - houston texans	american football	1429
balkans	del	1423
metals industry	metals	1418
sports: epl - everton	soccer	1417
sports: nba - los angeles lakers	basketball	1416
sports: nascar	racing	1415
us political columnists	politics	1405
ford motor company	automotive	1403
human rights	law	1401
sports: nfl - cincinnati bengals	american football	1398
top asia-pacific stories	del	1392
dubai	united arab emirates	1392
at&t	cellphones	1388
sports: nfl - cleveland browns	american football	1363
top us stories	del	1343
sports: rugby league	rugby	1342
sponsorship	del	1336
sports: nfl - indianapolis colts	american football	1332
nature	animals	1324
sports: mls	soccer	1314
sports: nfl - st louis rams	american football	1308
sports: nfl - tennessee titans	american football	1306
rail transport	trains	1306
austria	austria	1296
logistics	logistics	1291
sports: nfl - new orleans saints	american football	1289
sports: nfl - baltimore ravens	american football	1281
sports: nfl - new york giants	american football	1281
sports: mlb - baltimore orioles	baseball	1278
corporate finance	financial planning	1277
imaging equipment	photography	1275
finland	finland	1274
wal-mart stores	commerce	1270
sports: nfl - san diego chargers	american football	1270
trade	commerce	1238
pittsburgh	usa	1229
guinea	guinea	1219
vietnam	vietnam	1213
genetics	biotech	1209
sports: epl - west ham united	soccer	1206
caucasus	del	1202
sports: nfl - jacksonville jaguars	american football	1201
sports: nfl - oakland raiders	american football	1198
pay television industry	television	1197
san francisco bay area	usa	1178
newspaper publishing	publishing	1171
search engines	web search	1171
procurement	del	1167
gaming	computer gaming	1164
consumer durables	del	1162
sports: nfl - kansas city chiefs	american football	1162
bankruptcy	financial planning	1160
clothing industry	clothing	1155
sports: mlb - los angeles dodgers	baseball	1149
online content	del	1140
san diego	usa	1126
travel industry	travel	1124
los angeles	usa	1124
sports: nfl - atlanta falcons	american football	1124
mutual funds	investing	1119
cable industry	del	1104
sports: nfl - tampa bay buccaneers	american football	1097
sports: nhl - boston bruins	hockey	1091
black interest	society	1088
sports: mlb - new york yankees	baseball	1083
coca-cola company	food & drink	1078
venezuela	venezuela	1071
top media stories	del	1067
st louis	usa	1061
sports: epl - qpr	soccer	1038
scotland	united kingdom	1037
azerbaijan	azerbaijan	1034
kenya	kenya	1025
online auction	ecommerce	1023
shipping industry	shipping	1023
toyota motor	automotive	1020
boeing	military	1020
pensions	retirement planning	1006
top europe stories	del	1002
washington dc	usa	1000
r&d	del	999
tobacco industry	smoking	996
mcdonalds	dining out	994
morgan stanley	investing	988
music business	music	984
boston	usa	984
sports: nfl - miami dolphins	american football	984
general electric	del	982
nepal	nepal	967
colombia	colombia	964
entertainment: theater	theatre	962
leisure goods	del	959
citigroup	investing	956
sports: epl - newcastle united	soccer	944
intel	computer hardware	936
lebanon	lebanon	933
consumer: parenting	family & parenting	931
database industry	databases	926
robotics	physics	925
sports: mma	martial arts	921
tech policy	technology & computing	920
mali	mali	919
cuba	cuba	915
us state government	usa	912
bangladesh	bangladesh	911
sports: epl - aston villa	soccer	906
web 2.0	internet	892
serbia	serbia	891
bank of england	investing	890
new orleans	usa	888
online marketing	marketing	888
detroit	usa	879
sri lanka	sri lanka	869
delaware valley	usa	867
sports: epl - west bromwich albion	soccer	859
sports: nba - new york knicks	basketball	855
sports: nba - miami heat	basketball	853
plastics industry	manufacturing	851
local government	government	849
tunisia	tunisia	836
qatar	united arab emirates	833
denver-aurora	usa	832
sports: nba - chicago bulls	basketball	830
sports: mlb - detroit tigers	baseball	817
sports: motor sports	racing	815
algeria	algeria	815
silicon valley	internet	813
online banking	personal finance	806
bp	energy	806
sports: nba - boston celtics	basketball	800
uk education	education	800
bank of america	investing	794
total sa	energy	793
top middle east stories	del	791
sports: minor league baseball	baseball	789
sports: nhl - detroit red wings	hockey	785
seattle-tacoma	usa	784
hsbc	investing	783
burma	burma	776
architecture and design	architecture	774
chile	chile	769
consumer: photography	photography	765
sports: nhl - chicago blackhawks	hockey	764
public sector	del	763
taiwan	taiwan	762
poland	poland	757
book publishing	publishing	751
sports: nhl - toronto maple leafs	hockey	750
sports: nhl - los angeles kings	hockey	749
sports: mlb - washington nationals	baseball	735
somalia	somalia	734
accounting	accounting	732
consumer: womens	del	729
toronto	canada	717
sports: nba - san antonio spurs	basketball	717
investment banking	investing	712
latino	society	712
cincinnati	usa	697
consumer: pets	pets	687
european media	del	687
jacksonville	usa	686
moscow	russia	683
shanghai	china	681
portugal	portugal	680
sports: horse racing	horse racing	676
sports: nhl - pittsburgh penguins	hockey	674
fiat chrysler automobiles	automotive	673
caterpillar inc	construction	668
competition law	law	667
cisco systems	computer networking	666
uk security	military	663
sports: nhl - calgary flames	hockey	661
womens rights	politics	660
international development	politics	659
pfizer	biomedical	655
houston	usa	645
computer services	del	643
radio industry	radio	641
venture capital	investing	640
tech events	technology & computing	637
sports: nhl - montreal canadiens	hockey	636
bulgaria	bulgaria	635
wells fargo	personal finance	629
graphics industry	computer graphics	628
sports: swimming	swimming	617
exxon mobil	energy	615
sports: nba - phoenix suns	basketball	615
trade union	politics	615
sports: nba - dallas mavericks	basketball	614
open source	computer programming	614
hungary	hungary	613
sports: nhl - philadelphia flyers	hockey	605
sports: nhl - dallas stars	hockey	600
entertainment: movie reviews	movies	597
sports: nhl - columbus blue jackets	hockey	595
burkina faso	del	595
consumer: motoring	car culture	593
hiv and aids	aids hiv	592
sports: nhl - buffalo sabres	hockey	592
sports: mlb - boston red sox	baseball	591
sports: nhl - edmonton oilers	hockey	587
biological science	biology	581
consumer: seniors	del	580
vodafone group	cellphones	578
sports: nhl - washington capitals	hockey	577
sports: epl - southampton	soccer	575
starbucks	coffee	571
sports: nhl - minnesota wild	hockey	566
baltic states	del	565
sports: nhl - san jose sharks	hockey	565
human science	del	565
sports: nhl - anaheim ducks	hockey	563
sports: mlb - la angels of anaheim	baseball	559
brazil	brazil	557
sports: nba - milwaukee bucks	basketball	554
sports: epl - swansea city	soccer	553
luxembourg	luxembourg	552
sports: nhl - ottawa senators	hockey	545
pepsico	food & drink	544
uk media	del	543
sports: nba - orlando magic	basketball	540
peru	peru	536
sports: mlb - pittsburgh pirates	baseball	536
zambia	zambia	533
nuclear power	energy	529
sports: nba - houston rockets	basketball	528
sports: nhl - vancouver canucks	hockey	523
sports: epl - stoke city	soccer	523
us education	education	519
berlin	germany	514
sports: nhl - new york rangers	hockey	511
jordan	jordan	511
management	human resources	502
haiti	haiti	500
sports: mlb - oakland athletics	baseball	497
sports: nhl - nashville predators	hockey	494
sports: nhl - tampa bay lightning	hockey	492
us immigration	politics	490
sports: nba - los angeles clippers	basketball	485
sports: nhl - colorado avalanche	hockey	483
sports: nhl - new york islanders	hockey	479
sports: epl - sunderland	soccer	478
czech republic	czech republic	477
tokyo	japan	475
bahrain	united arab emirates	472
sports: nba - brooklyn nets	basketball	468
packaging and paper	del	468
data storage	databases	465
indianapolis	usa	462
procter & gamble	biomedical	461
sports: epl - hull city	soccer	460
central asia	del	455
sports: mlb - arizona diamondbacks	baseball	454
commercial spaceflight	astronomy	454
consumer: relationships	dating	452
mozambique	mozambique	450
personal data privacy	computer security	446
cambodia	cambodia	446
veterans	military	445
sports: nba - washington wizards	basketball	444
bosnia and herzegovina	bosnia	440
sports: extreme sports	sports	440
kazakhstan	kazakhstan	439
south pacific islands	del	439
personal finance	personal finance	437
austin	usa	437
sports: wrestling	wrestling	437
sports: mlb - texas rangers	baseball	436
sports: nhl - st louis blues	hockey	436
morocco	morocco	436
consumer: natural health	alternative medicine	433
royal dutch shell	energy	433
cyprus	cyprus	430
sports: nba - golden state warriors	basketball	429
puerto rico	usa	427
consumer: health	health & fitness	426
internet telephony	computer networking	425
aig	insurance	423
physical science	physics	422
entertainment: movie trailers	movies	420
albania	albania	420
kuwait	kuwait	418
sports: nhl - new jersey devils	hockey	415
bolivia	bolivia	415
sports: mlb - new york mets	baseball	413
romania	romania	413
sports: nba - indiana pacers	basketball	411
uganda	uganda	411
tech stocks	stocks	409
sacramento	usa	408
sports: nba - minnesota timberwolves	basketball	406
consumer: travel	travel	404
sports: nhl - carolina hurricanes	hockey	403
us social policy	politics	398
market data	stocks	396
tanzania	tanzania	390
nashville	usa	389
top internet stories	internet	389
slovakia	slovakia	386
sports: nba - detroit pistons	basketball	384
law	law	382
uruguay	uruguay	379
sports: mlb - chicago cubs	baseball	377
dr congo	congo	375
sports: nhl - florida panthers	hockey	373
merck & co	biomedical	372
online broker	stocks	371
baltimore	usa	370
sports: nba - utah jazz	basketball	365
chevron	energy	365
san antonio	usa	357
sports: epl - crystal palace	soccer	357
sports: nba - philadelphia 76ers	basketball	355
entertainment: bollywood	movies	353
sports: nba - atlanta hawks	basketball	353
american express	credit, debt & loans	353
outsourcing	business	345
isps	internet	343
alcoa	metals	339
sports: mlb - minnesota twins	baseball	339
sports: mlb - atlanta braves	baseball	338
rwanda	rwanda	337
british broadcasting corporation	television	335
johnson & johnson	biomedical	335
sports: epl - burnley	soccer	334
south sudan	sudan	331
ghana	ghana	327
home depot	del	327
firearms industry	shooting	322
ferrari	luxury cars	322
greater orlando	usa	321
arctic	del	320
sports: nba - memphis grizzlies	basketball	319
sports: nba - sacramento kings	basketball	315
sports: nba - denver nuggets	basketball	314
sports: nba - toronto raptors	basketball	309
united technologies	military	307
ups	logistics	305
phoenix	usa	303
atlanta	usa	302
waste management	green solutions	295
sports: motogp	racing	294
textiles	clothing	293
sports: nhl - winnipeg jets	hockey	293
minneapolis-st paul	usa	291
internet browsers	internet technology	290
ivory coast	ivory coast	288
water industry	del	287
top uk stories	del	286
kosovo	kosovo	284
sports: mlb - seattle mariners	baseball	284
fishing industry	game & fish	283
sports: mlb - toronto blue jays	baseball	282
sports: nba - portland trail blazers	basketball	282
slovenia	slovenia	278
knowledge management	del	278
3m	manufacturing	277
zimbabwe	zimbabwe	272
linux	unix	270
sports: mlb - houston astros	baseball	268
online legal issues	law	266
sports: mlb - philadelphia phillies	baseball	265
sports: winter sports	sports	264
sports: mlb - chicago white sox	baseball	261
fedex	logistics	261
latvia	latvia	260
sudan	sudan	260
sports: nba - new orleans hornets	basketball	259
programming	computer programming	258
senegal	senegal	258
sports: gymnastics	gymnastics	256
goldman sachs	investing	252
consumer: fitness	health & fitness	249
uk immigration	politics	247
northern ireland	united kingdom	247
central african republic	central african republic	245
bt group	cellphones	244
ethiopia	ethiopia	244
wales	united kingdom	243
panama	panama	242
botswana	botswana	242
sports: epl - leicester city	soccer	242
sports: nhl - phoenix coyotes	hockey	235
sports: mlb - cleveland indians	baseball	234
estonia	estonia	234
tel aviv	israel	233
top environment stories	del	232
dupont	del	232
milwaukee	usa	231
security services	military	226
fiji	fiji	224
uk social policy	del	222
san jose	usa	220
consumer: green	green solutions	219
honduras	honduras	216
entertainment: pop music reviews	music	215
jamaica	jamaica	214
buffalo-niagara falls	usa	213
sports: nba - oklahoma city thunder	basketball	212
sports: mlb - cincinnati reds	baseball	212
portland	usa	211
cameroon	cameroon	210
oklahoma city	usa	205
macedonia	macedonia	203
gmo	biotech	202
memphis	del	202
visa inc	credit, debt & loans	199
sports: mlb - milwaukee brewers	baseball	199
iceland	iceland	195
sports: mlb - tampa bay devil rays	baseball	194
conocophillips	energy	194
sports: road cycling	cycling	193
nanotechnology	biotech	193
sports: mlb - san diego padres	baseball	192
mumbai	india	191
sports: mlb - florida marlins	baseball	188
belarus	belarus	184
el salvador	el salvador	182
diamond industry	jewelry	181
sports: volleyball	volleyball	175
web development	computer programming	175
consumer: mens	del	174
top canada stories	del	174
antarctic	antarctica	173
consumer: food and drink	food & drink	173
money laundering	crime	172
sports: mlb - colorado rockies	baseball	171
charlotte	usa	164
hampton roads	usa	159
angola	angola	156
nhs	health & fitness	154
oman	oman	150
rfid	computer hardware	149
lithuania	lithuania	146
dominican republic	dominican republic	145
consumer: recipes	cooking	145
private finance initiative	personal finance	143
sports: fishing	game & fish	140
costa rica	costa rica	139
chrysler group	automotive	139
corporate governance	del	139
mongolia	mongolia	138
armenia	armenia	136
sports: ipl	cricket	136
louisville	usa	135
trinidad and tobago	trinidad & tobago	134
hyundai motor company	automotive	133
entertainment: book reviews	literature	132
trucking industry	logistics	131
ecuador	ecuador	128
providence	usa	126
columbus	usa	126
uk law	law	126
paraguay	paraguay	125
salt lake city	usa	124
sports: soccer gossip	soccer	124
papua new guinea	guinea	123
product recall	del	118
madagascar	madagascar	118
consumer: biking	motorcycles	115
top africa stories	del	115
domain name	internet technology	113
niger	niger	109
guatemala	guatemala	108
croatia	croatia	106
chad	chad	99
offbeat	del	99
greater hartford	usa	97
namibia	namibia	97
uzbekistan	uzbekistan	96
tampa bay area	usa	95
raleigh-durham	usa	92
augmented reality	computer graphics	91
online gambling	gambling	90
asp	surfing	88
mauritius	mauritius	81
kraft foods	food & drink	81
bmw	luxury cars	80
sports: nba - charlotte bobcats	basketball	79
georgia	georgia	78
burundi	burundi	74
birmingham-hoover	usa	68
lesotho	lesotho	64
sports: field hockey	hockey	64
equatorial guinea	guinea	64
travelers companies	travel	63
sports: sailing	sailing	59
windows	windows	58
malta	malta	57
inland empire	del	57
moldova	moldova	54
malawi	malawi	51
kyrgyzstan	kyrgyzstan	48
mauritania	mauritania	47
eritrea	eritrea	47
gabon	gabon	46
java	java	46
cleveland	usa	46
laos	laos	46
sports: world rally championship	racing	44
johannesburg	south africa	43
turkmenistan	turkmenistan	36
seychelles	seychelles	35
nike	fashion	35
bhutan	bhutan	35
tajikistan	tajikistan	33
benin	benin	31
djibouti	djibouti	31
richmond-petersburg	usa	28
maldives	maldives	28
montenegro	montenegro	25
republic of the congo	republic of the congo	24
sports: rowing	rowing	22
top australia stories	del	20
brunei	brunei	18
togo	togo	18
gambia	gambia	18
sports: snooker	sports	17
unitedhealth group	health & fitness	16
swaziland	swaziland	16
obituaries	del	13
sports: lacrosse	lacrosse	13
consumer: home and garden	del	11
cape verde	cape verde	10
guinea-bissau	guinea-bissau	8
consumer: outdoor recreation	adventure	4
